Title,URL,Message,Category,Tracking Number
Paket tidak bergerak,https://tanyapaket.cekresi.com/question/paket-tidak-bergerak-7887/,Paket dengan nomer resi 021380001083024 tidak bergerak setelah 1 hari di kirim,JNE Express,resi 021380001083024
Paket tidak berjalan sudah 6 hari masih stuck,https://tanyapaket.cekresi.com/question/paket-tidak-berjalan-sudah-6-hari-masih-stuck/,Paket tidak berjalan sudah 6 hari masih stuck di surabaya no resi JP1091735399,JNT Express,no resi JP1091735399
paket say kemapa sudah sampai bandar lampung tetapi balik lagi diantar ke jakarta,https://tanyapaket.cekresi.com/question/paket-say-kemapa-sudah-sampai-bandar-lampung-tetapi-balik-lagi-diantar-ke-jakarta/,kenapa paket saya sudah tiba di alamat saya bandar lampung tetapi dikirim lagi kenpalembang dan ke jakarta?,JNT Express,
Paket tidak bergerak,https://tanyapaket.cekresi.com/question/paket-tidak-bergerak-7886/,Maaf mau tanya paket dg resi 021180006105524 tidak bergerak,JNT Cargo,resi 021180006105524
Laporan pengiriman tidak bergerak,https://tanyapaket.cekresi.com/question/laporan-pengiriman-tidak-bergerak/,"Estimasi pengiriman tiba tgl 9-13 Maret, tetapi Dari tgl 8 Maret sampai sekarang laporan tidak update, tolong donk di bantu,ini no resinya JX0191064093 kalau memang ada kendala, kasih informasi donk kendalanya apa biar saya tau,",JNT Express,no resinya
Keterlambatan pick up,https://tanyapaket.cekresi.com/question/keterlambatan-pick-up/,TOLONG KURIR NYAAA YG BNR jadwal pick up jam 6-11 malam sampai 23.20 blm ada KURIR,JNE Express,
"Resi JD0374726531 Terlalu lama, bahkan tidak bergerak beberapa hari, padahal j&t express",https://tanyapaket.cekresi.com/question/resi-jd0374726531-terlalu-lama-bahkan-tidak-bergerak-beberapa-hari-padahal-jt-express/,"Resi JD0374726531 Terlalu lama,  bahkan tidak bergerak beberapa hari, padahal j&t express",JNT Express,Resi JD0374726531
Paket tidak bergerak,https://tanyapaket.cekresi.com/question/paket-tidak-bergerak-7885/,paket 5hari tidak bergerak mohon kelanjutan dan penangananya resi 200447353345,JNT Cargo,resi 200447353345
Paket tidak bergerak,https://tanyapaket.cekresi.com/question/paket-tidak-bergerak-7884/,"Paket saya dg nomor resi JT46676859452 tdk bergerak sama sekali sejak 11 Maret 2024, pdahal estimasi seharusnya tgl 13 Maret paket sdh kami Terima. Mohon bantuannya agar paket kami segera di kirimkan. Trims",JNT Cargo,nomor resi JT46676859452
Paket Belum Sampai Resi 022950002104124,https://tanyapaket.cekresi.com/question/paket-belum-sampai-resi-022950002104124/,"Halo JNE, Mohon konfirmasi keberadaan paket yang status pelacakan resi telah terjangkau pada tgl 12 Maret 2024, pukul 19.00 WIB. tetapi tidak menemukan penerima. saya telah cek ke yang bersangkutan tidak ada sms/wa/telpon dari kurir yang mengirimkan, dan hingga saat ini status paket keberadaannya dimana statusnya?Terimakasih Salam Rizki",JNE Express,resi telah
Paket belum datang dengan resi 631480003786124,https://tanyapaket.cekresi.com/question/paket-belum-datang-dengan-resi-631480003786124/,Tolong segera dikirim paket ekspedisi JNE Yes dengan resi 631480003786124,JNE Express,resi 631480003786124
Paket JNE Cargo status bermasalah,https://tanyapaket.cekresi.com/question/paket-jne-cargo-status-bermasalah/,"Tolong paket saya dengan resi JT79987060229 agar segera dikirim ke saya, kenapa tiba2 status paket bermasalah, berbeda dgn yg tertera di marketplace ??? Setiap tlp k call center jawaban ny template banget, suruh tunggu terus, gk ada penyelesaian sm sekali",JNE Express,resi JT79987060229
Kurir SAPX tidak antar barang setelah masuk sorting center,https://tanyapaket.cekresi.com/question/kurir-sapx-tidak-antar-barang-setelah-masuk-sorting-center/,"Resi: TKP01-WLLPMPPYBarang saya sudah sampai di sorting center manado dari tanggal 11 maret, tetapi sampai tanggal sekarang barang tersebut masih brlum diantar. Apakah boleh bantu lacak barang saya? Terima kasih",SAP Express,Resi: TKP01
Paket tidak bergerak dari tanggal 9 maret,https://tanyapaket.cekresi.com/question/paket-tidak-bergerak-dari-tanggal-9-maret-3/,"Maaf pak, izin bertanya ini paket saya dengan resi 200444471871 blm berjalan sama sekali dari tanggal 9 maret 2024. Jadi kapan estimasi samapai tempat tujuan?",JNT Cargo,resi 200444471871
Paket belum bergerak dari tanggal 12 Maret 2024,https://tanyapaket.cekresi.com/question/paket-belum-bergerak-dari-tanggal-12-maret-2024/,"Saya mengirim paket dari Medan ke Jakarta dengan no. resi 041620013969224, dan history terakhir di tanggal 12 Maret, posisi terakhir DELIVERED TO [DODI LG | 12-03-2024 11:31 | JAKARTA ]. Sampai tanggal 13 Maret 2024, paket belum sampai di tujuan jl. Haji Rasuna Said, Jakarta Selatan. Mohon agar posisi paket pertanggal 13 Maret dapat dilacak",JNE Express,no. resi 041620013969224
Tolong segera dikirim paket dg resi JX0206746480,https://tanyapaket.cekresi.com/question/tolong-segera-dikirim-paket-dg-resi-jx0206746480/,Tolong segera dikirim paket dg resi JX0206746480,JNT Express,resi JX0206746480
paket J&T Cargo 200445004547,https://tanyapaket.cekresi.com/question/paket-jt-cargo-200445004547/,posisi paket sudah dimana?  per tanggal 11 Maret 2024 tidak ada pergerakan paket J&T Cargo 200445004547,JNT Cargo,
Apa arti status paket dikembalikan di [nama daerah,https://tanyapaket.cekresi.com/question/apa-arti-status-paket-dikembalikan-di-nama-daerah/,"Paket kemaren atau sehari yang lalu dikirim dari Kudus sudah nyampe di Tegal. Dan hari ini sudah di Brebes, namum mengapa status paket sekarang seperti dibawah ini? Mengapa paket tidak di kirimkan ke dropt poin sesuai dengan kecamatan? Yang ini malahan ke kecamatan sebelah, mana jauh banget jaraknya hampir setengah jamPaket di kembalikan di Brebes [Brebes Kersana] – (CC) Criss Cross",SICEPAT,
paket tidak bisa dilacak no resi SEN1C520331424,https://tanyapaket.cekresi.com/question/paket-tidak-bisa-dilacak-no-resi-sen1c520331424/,kenapa paket saya tidak bisa dilacak,Indah Logistik,
Paket saya dengan nomor resi JD0341459966 kenapa belom sampai,https://tanyapaket.cekresi.com/question/paket-saya-dengan-nomor-resi-jd0341459966-kenapa-belom-sampai/,Paket saya dengan nomor resi JD0341459966 kok belom ada dikirim dan saya belom menerima paket tersebut,JNE Express,nomor resi JD0341459966
Tanya paket,https://tanyapaket.cekresi.com/question/tanya-paket-2691/,"Paket tidak bergerak dengan nomor resi BDO1CSPL210520274916 Mohon segera diperiksa dan dikirim, terimakasih",Indah Logistik,nomor resi BDO1CSPL210520274916
paket tidak bergerak,https://tanyapaket.cekresi.com/question/paket-tidak-bergerak-7883/,"paket dengan resi 200446896305 tidak bergerak sejak 8 maret, dan dibutuhkan segera sebelum tanggal 14 maret. dimana outlet paket berada sekarang?",JNT Cargo,resi 200446896305
Paket J&T Ekspres nomor resi JX0224059820 sampai mana?,https://tanyapaket.cekresi.com/question/paket-jt-ekspres-nomor-resi-jx0224059820-sampai-mana/,Mohon infonya paket J&T (sepatu) No resi JX0224059820 sudah sampai mana?,JNT Express,No resi JX0224059820
Paket tidak bergerak,https://tanyapaket.cekresi.com/question/paket-tidak-bergerak-7882/,"Paket saya dengan no resi JD0376234310 ekspedisi jnt ekspress tidak bergerak terakhir tgl 11 Maret di gudang sortir jakarta, mohon di bantu terimakasih",JNT Express,no resi JD0376234310
Kirim paket saya dengan resi jd0376174388,https://tanyapaket.cekresi.com/question/kirim-paket-saya-dengan-resi-jd0376174388/,Jd0376174388,JNE Express,
Paket tidak bergerak,https://tanyapaket.cekresi.com/question/paket-tidak-bergerak-7881/,"Halo , paket saya dengan resi 550200004755724 menggunakan jne kok engga gerak ya, stuck dr kemaren? di DEPARTED FROM TRANSIT  mulu gaada update informasinya",JNE Express,resi 550200004755724
Paket tidak bergerak dari tanggal 12 maret,https://tanyapaket.cekresi.com/question/paket-tidak-bergerak-dari-tanggal-12-maret/,No Resi	: 071030029013524 Dikirim tanggal : 11-03-2024 21:38 Dikirim oleh	: MAINAN 28.FIGURASTUFF Dikirim ke	: -IIS MUADAH 218468 Status	: On Process,JNE Express,No Resi	: 071030029013524
Tolong paket segera di kirim dengan no. Resi JD0376549884,https://tanyapaket.cekresi.com/question/tolong-paket-segera-di-kirim-dengan-no-resi-jd0376549884/,"Tolong paket segera di proses, pembeli srdang menunggu",JNT Express,
Paket ga bergerak & terlalu lama,https://tanyapaket.cekresi.com/question/paket-ga-bergerak-terlalu-lama/,"Sungguh terlalu….,paket ga bergerak & memakan waktu yg lama",JNT Cargo,
Paket belum datang sampe tanggal yg ditentukan,https://tanyapaket.cekresi.com/question/paket-belum-datang-sampe-tanggal-yg-ditentukan/,"Paket belum datang sampai hari yg sudah ditentukan, ditracking juga statusnya cuma sampe tgl 8 saja , harusnya hari ini tgl 13 datang sesuai jadwalnya…tapi ditracking berhenti sampe tgl 8 maret 2024 saja.no resi JNEB-1011454636",JNE Express,no resi JNEB
Paket Rusak Parah,https://tanyapaket.cekresi.com/question/paket-rusak-parah/,Paket dikirim dari kota metro Lampung berat 7 kg tgl 8 Maret 2024 menuju jatinangor sumedang. Estimasi 3-4 hari menurut saudara Riski tapi sampai di sumedabg tgl 13 Maret lebih dari 5 hari dan pihak jnt telp anak saya paket gak bisa dianter karena RUSAK. Kok bisa sekelas jnt telat dan barang rusak. Kami tunggu pertanggungjawabannya.,JNT Express,
Paket tidak bergerak,https://tanyapaket.cekresi.com/question/paket-tidak-bergerak-7880/,Kok paket saya yang bernomor resi TLJR3DH3GLYGVYWE tidak bergerak lagi ya sejak kemaren. Stuck di warehouse cileungsi terus dari jam 9 pagi kemaren,JNE Express,nomor resi TLJR3DH3GLYGVYWE
"Paket belum terima,resi:200447039966",https://tanyapaket.cekresi.com/question/paket-belum-terimaresi200447039966/,200447039966,JNT Cargo,
No 10008497915764 paket belum sampai melebihi tanggal maksimal waktunya,https://tanyapaket.cekresi.com/question/no-10008497915764-paket-belum-sampai-melebihi-tanggal-maksimal-waktunya/,10008497915764,Anteraja,10008497915764
Paket belum sampai,https://tanyapaket.cekresi.com/question/paket-belum-sampai-2451/,Paket Belum sampai dari tanggal 8 Maret dengan ekspedisi J&T cargo. No paketnya 200449991245,JNT Cargo,
Paket berhenti dari tgl 10 Maret,https://tanyapaket.cekresi.com/question/paket-berhenti-dari-tgl-10-maret/,JD0375547148 PAKET TIDAK BERGERAK SEJAK 10 MARET,JNT Express,
Melacak paket Medali dan Piagam cetak dari Divya competition,https://tanyapaket.cekresi.com/question/melacak-paket-medali-dan-piagam-cetak-dari-divya-competition/,JD0376613450,JNT Express,
Paket tidak bergerak,https://tanyapaket.cekresi.com/question/paket-tidak-bergerak-7879/,Paket saya tidak bergerak atau tidak dikirim oleh pihak JNE Trucking dengan no.Resi JT21579850419,JNE Express,no.Resi JT21579850419
No. Resi 640940004209323 Not Found,https://tanyapaket.cekresi.com/question/no-resi-640940004209323-not-found/,"Kenapa ya no. Resi 640940004209323, setelah saya cek beberapa kali di web dan app MyJNE keterangan nya not found, minta tolong solusinya🙏",JNE Express,no. Resi 640940004209323
Paket tidak bergerak,https://tanyapaket.cekresi.com/question/paket-tidak-bergerak-7878/,Paket tidak bergerak dari tanggal 11 Maret 2024 di Warehouse Tanjung Karang – Bandar LampungNo resi 620600003927920,JNT Express,No resi 620600003927920
paket tidak bergerak dari tgl 6,https://tanyapaket.cekresi.com/question/paket-tidak-bergerak-dari-tgl-6-4/,JP8990044042 dari tgl 6 tidak bergerak,JNT Express,JP8990044042
Tolong kirim segera paket dengan resi JD0375721911,https://tanyapaket.cekresi.com/question/tolong-kirim-segera-paket-dengan-resi-jd0375721911/,Tolong segera tangani ya,JNT Express,
Resi tidak bisa di lacak no resi JX2252011210,https://tanyapaket.cekresi.com/question/resi-tidak-bisa-di-lacak-no-resi-jx2252011210/,Resi JX2252011210,JNT Express,Resi JX2252011210
Paket No JNEB-1011615038 tidak bergerak dari tanggal 10 Maret,https://tanyapaket.cekresi.com/question/paket-no-jneb-1011615038-tidak-bergerak-dari-tanggal-10-maret/,Container BoxEzy 52 liter JNEB-1011615038,JNE Express,
paket udah 4 hari gagal pengiriman,https://tanyapaket.cekresi.com/question/paket-udah-4-hari-gagal-pengiriman/,"paket saya udah sampai di kota tujuan dari tanggal 7 maret, namun sampai sekarang paket gagal pengiriman, tolong penjelasanya ?",Anteraja,
paket saya udah 4 hari status pengiriman gagal pengiriman terus no resi 10008491114200,https://tanyapaket.cekresi.com/question/paket-saya-udah-4-hari-status-pengiriman-gagal-pengiriman-terus-no-resi-10008491114200/,paket saya udah 4 hari status pengiriman gagal pengiriman terus mohon kejelasanya?no resi 10008491114200,Anteraja,no resi 10008491114200
paket belum sampai sudah maksimal tgl estimasi,https://tanyapaket.cekresi.com/question/paket-belum-sampai-sudah-maksimal-tgl-estimasi-2/,No resi 660074333683,TIKI,No resi 660074333683
Paket No JT81695896977,https://tanyapaket.cekresi.com/question/paket-no-jt81695896977/,Paket No JT81695896977 JNE Cargo  stuck dari tgl 09/03 (pesanan tgl 03/03),Ekspedisi Lainnya,
Cilacap Jawa Tengah,https://tanyapaket.cekresi.com/question/cilacap-jawa-tengah/,Paket belum dikirim sudah 1 hari di kota tujuan No resi JD0375711107 J&T,JNT Express,No resi JD0375711107
Pengiriman Blm sampai,https://tanyapaket.cekresi.com/question/pengiriman-blm-sampai-2/,Mohon bantuannya untuk nomor resi JT49390378659 berhenti do bogor. pengiriman dari tanggal 6 blm sampai,JNT Cargo,nomor resi JT49390378659
Pengiriman Barang Gagal,https://tanyapaket.cekresi.com/question/pengiriman-barang-gagal-2/,"Halo kak.. saya mau tanyaKenapa paket saya dengan nomor resi SPXID040637092373 (COD) statusnya pengiriman gagal ya dan mw dibalikin ke penjualnya? Itu sudah 2 kali gagal (tgl 10 dan 11 Maret) dengan alasan yang sama yakni penerima tidak di rumah/tidak bisa dihubungi.. padahal dalam 2 hari ini tidak ada kurir yang datang mengantar paket atau menghubungi nomor saya jika paket sudah sampai di dpn rumah. Seharusnya, jika memang tidak ada orang di rumah, setidaknya kurir menghubungi nomor saya.. tapi ini tidak, langsung membuat pernyataan pesanan gagal.Tolong dibantu ya ..Terima kasih",Shopee Express,nomor resi SPXID040637092373
Paket dr tgl 9 maret berhenti,https://tanyapaket.cekresi.com/question/paket-dr-tgl-9-maret-berhenti/,Saya kirim dari tgl 8 maret 2024 . Tujuan wisma indomobil . Sampai skarang posisi paket hanya ada tgl 9 maret saja. Mohon dibantu. Thx,JNT Express,
Paket tidak bergerak,https://tanyapaket.cekresi.com/question/paket-tidak-bergerak-7877/,Paket saya dengan resi JD0375514271 tidak bergerak dari tanggal 8 Maret 2024 tolong dong dipercepat lagi terimakasih,JNT Express,resi JD0375514271
140360002116124 JNE Trucking status berhenti di tanggal 5 Maret 2024,https://tanyapaket.cekresi.com/question/140360002116124-jne-trucking-status-berhenti-di-tanggal-5-maret-2024/,Mohon bantuannya untuk nomor resi 140360002116124 sudah tidak ada update histori perjalanan semenjak tanggal 5 Maret 2024 terhenti di “Bulkhub”,JNE Express,nomor resi 140360002116124
Paket belum sampai,https://tanyapaket.cekresi.com/question/paket-belum-sampai-2450/,Bisa minta tolong paket saya seharusnya tanggal 9 maret 2024 seharusnya sdh sampai. Mohon bantuan no WA Pos infonesia,Pos Indonesia,
Kenapa paket tidak bergerak,https://tanyapaket.cekresi.com/question/kenapa-paket-tidak-bergerak-46/,"Paket saya dg nomor resi : JP3849428139 JNT Economy terakhir diupdate posisinya tanggal 2 Maret- dan per hari ini belum berubah. Paket saya diestimasi utuk sampai sekitar tanggal 6 Maret dan skrg sudah tgl 12 Maret, sudah telat hampir seminggu. Mohon solusinya Terima kasih",JNT Express,resi : JP3849428139
Minta bukti pengiriman dengan nomor resi JX0196944727,https://tanyapaket.cekresi.com/question/minta-bukti-pengiriman-dengan-nomor-resi-jx0196944727/,"Saya sudah cek resinya, di terima oleh nuraeni, tetangga saya gak ada namanya nuraeni dan barangnya beluk saya terima sampai sekarang, boleh minta nomor kurirnya namanya rizky haqiqi",JNT Express,resinya
Paket tak bergerak,https://tanyapaket.cekresi.com/question/paket-tak-bergerak-62/,paket tidak bergerak resi TLJR3DL591YNGJ63,JNE Express,resi TLJR3DL591YNGJ63
Paket tidak bergerak JNAC-0042065956,https://tanyapaket.cekresi.com/question/paket-tidak-bergerak-jnac-0042065956/,Paket saya tidak bergerak JNAC-0042065956,JNE Express,
Paket belum sampai sudah maksimal tgl estimasi,https://tanyapaket.cekresi.com/question/paket-belum-sampai-sudah-maksimal-tgl-estimasi/,No resi TLJR3D4GCLYN1D6Y batas estimasi 11 maret 2024 dan sampai sekarang status paket masih di tanggal 4 maret 2024 departed tangerang bandara mas. Tolong konfirmasinya apakah paket itu hilang atau tidak?,JNE Express,No resi TLJR3D4GCLYN1D6Y
Paket tidak bergerak,https://tanyapaket.cekresi.com/question/paket-tidak-bergerak-7876/,Paket tidak bergerak dari tanggal 7 maret sampai estimasi sampai dengan no resi JT53617905170,JNE Express,no resi JT53617905170
Paket dengan resi JT48584137546 stuck dipekanbaru sudah 3 hari tidak jalan,https://tanyapaket.cekresi.com/question/paket-dengan-resi-jt48584137546-stuck-dipekanbaru-sudah-3-hari-tidak-jalan/,Paket dengan resi JT48584137546 stuck dipekanbaru sudah 3 hari tidak jalan,Ekspedisi Lainnya,resi JT48584137546
Resi 004286033537 Pengiriman lama,https://tanyapaket.cekresi.com/question/resi-004286033537-pengiriman-lama/,"Pengiriman lama, paket bolak balik Pekanbaru Jakarta 004286033537",SICEPAT,
Sudah dibawa Kurier atau belum?,https://tanyapaket.cekresi.com/question/sudah-dibawa-kurier-atau-belum/,"tolong cek segera. paket dengan no resi TLJR3DGC42YNNCPF sudah dibawa kurier atau belum? kalo belum saya mau ambil sendiri dikantor JNE, distatus pengiriman barang sudah tiba dikota tujuan. Soalnya barangnya dibutuhkan segera",JNE Express,no resi TLJR3DGC42YNNCPF
"Paket belum nyampe sampai sekarang, 5 hari posisi masih di daerah jakarta",https://tanyapaket.cekresi.com/question/paket-belum-nyampe-sampai-sekarang-5-hari-posisi-masih-di-daerah-jakarta/,No resi 004286573778,SICEPAT,No resi 004286573778
Paket stucuk sudah 3 hari tidak jalan,https://tanyapaket.cekresi.com/question/paket-stucuk-sudah-3-hari-tidak-jalan/,Paket stuck tidak jalan dengan resi JT73538902066,JNE Express,resi JT73538902066
paket tidak bergerak,https://tanyapaket.cekresi.com/question/paket-tidak-bergerak-7875/,Paket dengan nomor resi SPXID045039050793 dari tanggal 5 tidak ada pergerakan dn update diweb dan sampai ke hari 9 belum sampai kapan sampai kelokasi? karena ada kebutuhan yang urgent,Shopee Express,nomor resi SPXID045039050793
Paket tidak bergerak dan sudah sampai tanggal estimasi JT74293342513 jne,https://tanyapaket.cekresi.com/question/paket-tidak-bergerak-dan-sudah-sampai-tanggal-estimasi-jt74293342513-jne/,Paket tidak bergerak dan sudah sampai tanggal estimasi JT74293342513 jne,JNE Express,
Lacak pengiriman,https://tanyapaket.cekresi.com/question/lacak-pengiriman-17/,"SP1240304022854 indopaket . Info untuk posisi barang sekarang sudah sampai mana ya,status dari tanggal 7 tidak bergerak.setelah di cek resi tidak terbaca.",Ekspedisi Lainnya,resi tidak
Paket tidak jalan,https://tanyapaket.cekresi.com/question/paket-tidak-jalan-233/,Paket tidak jalan JNE Nomer Resi 630890002662824,JNE Express,Resi 630890002662824
Sudah 4 hari tak Sampai,https://tanyapaket.cekresi.com/question/sudah-4-hari-tak-sampai/,"Sudah 5 hari paket tidak sampai, no resi 1306472457",JNT Express,no resi 1306472457
9 hari paket blom sampai,https://tanyapaket.cekresi.com/question/9-hari-paket-blom-sampai/,"Resi TKP01-L7LN830N Sudah 9 hari paket blom sampai , 3 hari stuck di kota tujuan , Estimasi 11 hari baru bisa dikomplain..",SAP Express,Resi TKP01
Status paket kok gak berubah dan sudah 4 hari blm sampai,https://tanyapaket.cekresi.com/question/status-paket-kok-gak-berubah-dan-sudah-4-hari-blm-sampai/,Paket no 0151332400639799 Jne express kok status gak berubah..stuck di tgl 6 dan ini sudah 4 hari belum sampai juga,JNE Express,0151332400639799
Paket sthck,https://tanyapaket.cekresi.com/question/paket-sthck/,Paket dengan resi Jo0209478153 dari pagi sudah dibawa kurir namun ssmpek sekaramg gaada perubahan pergerakan,JNT Express,resi Jo0209478153
kenapa Paket tidak bergerak?JNEB-1011434834,https://tanyapaket.cekresi.com/question/kenapa-paket-tidak-bergerakjneb-1011434834/,JNEB-1011434834,JNE Express,
Paket belum sampai,https://tanyapaket.cekresi.com/question/paket-belum-sampai-2449/,Sore…paket JNE Express No. resi 010290003024024 sampai ke lokasi pengiriman kapan ya ?,JNE Express,No. resi 010290003024024
pket sya manaa,https://tanyapaket.cekresi.com/question/pket-sya-manaa/,kenapa paket saya keterangannya sudah sampai tapi belum saya terima,JNT Express,
Paket ZYLZBCCE stuck,https://tanyapaket.cekresi.com/question/paket-zylzbcce-stuck/,Tolong dibantu/ dipercepat pengirimannya. Tolong konfirmasi jika ada kendala ZYLZBCCE,WAHAHA,
paket sudah sampai mana resi JD0375266951,https://tanyapaket.cekresi.com/question/paket-sudah-sampai-mana-resi-jd0375266951/,paket dengan resi JD0375266951,JNT Express,resi JD0375266951
Paket sdh 3 hari stuck tidak dikirim dari pusat sortir lampung,https://tanyapaket.cekresi.com/question/paket-sdh-3-hari-stuck-tidak-dikirim-dari-pusat-sortir-lampung/,"Paket dengan nomor resi SPXID041881691843 tidak kunjung dikirim dari pusat sortir lampung sejak 7 maret 2024. Estimasi sampai hari ini, tp sampai dengan hari ini paket belum juga bergerak untuk dikirimkan ke palembang. Mohon untuk segera dikirimkan paket tersebut terimakasih.",Shopee Express,nomor resi SPXID041881691843
Paket dengan resi 350180000571624 jne sama sekali tidak bergerak,https://tanyapaket.cekresi.com/question/paket-dengan-resi-350180000571624-jne-sama-sekali-tidak-bergerak/,Paketnya kemana ini kok berhentiiii 350180000571624,JNE Express,350180000571624
No resi tidak dapat terbaca,https://tanyapaket.cekresi.com/question/no-resi-tidak-dapat-terbaca/,Kenapa resi j&t saya tidak bisa terbaca. Tolong bantuannya untuk melacak status paket saya 240305ZBKRRY. Terima kasih,JNT Express,resi j
Paket macet/stuck,https://tanyapaket.cekresi.com/question/paket-macet-stuck/,Paket saya dengan nomor resi TKP01-P3K615YP awalnya menggunakan ekspedisi JNT kemudian tanpa saya ketahui berubah menjadi JNE. Terhitung sudah 3 hari dari tanggal 7 maret hingga sekarang statusnya masih di gerai Jakarta. Mohon bantuannya.,Ekspedisi Lainnya,nomor resi TKP01
Paket tidak gerak,https://tanyapaket.cekresi.com/question/paket-tidak-gerak-128/,Paket dari tanggal 8 dini hari sampai dengan sekarang gak gerak gerak,JNE Express,
Paket dengan nomer resi NLIDAP1742277173 tidak bergerak,https://tanyapaket.cekresi.com/question/paket-dengan-nomer-resi-nlidap1742277173-tidak-bergerak/,rifkiaf2916@gmail.com NLIDAP1742277173,Ninja Xpress,
Paket tidak jalan,https://tanyapaket.cekresi.com/question/paket-tidak-jalan-232/,No resi JT36912098414 paket tidak jalan padahal edtimasi diterima 9 maret,JNE Express,No resi JT36912098414
Pesanan saya no.resi SPXID048310404933 belum sampai.,https://tanyapaket.cekresi.com/question/pesanan-saya-no-resi-spxid048310404933-belum-sampai/,Pesanan saya belum datang..padahal harusnya sampai tanggal 5 maret kemaren..sekarang sudah 7 hari. SPXID048310404933,JNT Express,
Paket tidak jalan,https://tanyapaket.cekresi.com/question/paket-tidak-jalan-231/,No resi JT36912098414 Estimasi diterima 9maret tp paket beberapa hari tidak jalan,JNE Express,No resi JT36912098414
"Paket TLJR3D4PVGYN5C69 tidak bergerak sejak tgl 5 maret 2024, mohon di bantu.",https://tanyapaket.cekresi.com/question/paket-tljr3d4pvgyn5c69-tidak-bergerak-sejak-tgl-5-maret-2024-mohon-di-bantu/,Paket TLJR3D4PVGYN5C69 tdak bergerak sejak 5 maret 2024,JNE Express,
Paket Stuck di Gudang Jakarta Timur,https://tanyapaket.cekresi.com/question/paket-stuck-di-gudang-jakarta-timur/,"Kronologinya saya order melalui Shopee tertanggal  6 Maret 2024, kemudian tgl 7 Maret dibawa kurirnya ke Hub Jakarta Utara, kemudian dikirim ke Transit di Jakarta Timur lalu kembali lagi ke Jakarta Utara, dan balik lagi ke Sortir di Jakarta Timur jam 21.23 hingga saat ini paketnya masih di sortiran Jakarta Timur.",Anteraja,
Paket saya lama tidak dikirim,https://tanyapaket.cekresi.com/question/paket-saya-lama-tidak-dikirim/,Gila nih jasa pengiriman…yang salah kirim siapa…paket saya di pending… With kerja yang bener lah…gak jelas amat…gua dari butuh tuh barang sampel gak butuh lagi.  Udh seminggu lebih paket gua pendong,Ninja Xpress,
Status paket ga update,https://tanyapaket.cekresi.com/question/status-paket-ga-update-2/,"Paket saya status nya tidak update sejak tgl 6 maret, paket juga sudah melewati waktu estimasi pengiriman, tolong konfirmasi nya jnt express",JNT Express,
Paket saya lama datangnya padahal estimasi 2 hari,https://tanyapaket.cekresi.com/question/paket-saya-lama-datangnya-padahal-estimasi-2-hari/,Paket saya atas nama Rafifaraissya dengan no resi 540040003715324 belum sampai padahal estimasinya 2 hari gimana ya dan saya lacak ternyata paket masih jauh padahal acaranya besok hari,JNE Express,no resi 540040003715324
Paket tidak bergerak no resi 011230012961724,https://tanyapaket.cekresi.com/question/paket-tidak-bergerak-no-resi-011230012961724/,paket tidak bergerak dari tanggal 4 03 2024,JNE Express,
paket stuck,https://tanyapaket.cekresi.com/question/paket-stuck-303/,"paket saya stuk dari tanggal 5 dan tidak ada kejelasan, padahal saya memesan barang yang lain dengan ekspedisi yang sama tapi yang 1 sudah sampai dan yang 1 ini masih stuk, berikut no resinya : JP6805093575",JNT Cargo,no resinya
tanya paket,https://tanyapaket.cekresi.com/question/tanya-paket-2690/,paketnya udah semingguan gak dateng”,JNE Express,
Paket tidak bergerak,https://tanyapaket.cekresi.com/question/paket-tidak-bergerak-7874/,Paket dengan nomor resi JT10207387371 dengan ekspedisi JNE Trucking sejak tgal 6 Maret tidak bergerak. Mohon untuk segera ditindaklanjuti. Terimakasih.,JNE Express,nomor resi JT10207387371
Paket tidak bergerak,https://tanyapaket.cekresi.com/question/paket-tidak-bergerak-7873/,Diem wae paketku,SICEPAT,
"Paket yang dipesan 2 tapi yang diterima satu, no resi : BDO1CSPL210520214068",https://tanyapaket.cekresi.com/question/paket-yang-dipesan-2-tapi-yang-diterima-satu-no-resi-bdo1cspl210520214068/,"Paket yang dipesan 2 tapi yang diterima satu, no resi : BDO1CSPL210520214068 Sofabed INTHEBOX (Sofa Bed Minimalis)",Indah Logistik,no resi : BDO1CSPL210520214068
Alamat Pengirim berbeda,https://tanyapaket.cekresi.com/question/alamat-pengirim-berbeda/,"Alamat Pengirim diresi melalui JNE jl tomang Raya no 11 Grogol Petamburan ,namun saat dicek tracking berada di kota demak",JNE Express,resi melalui
Nama dan nomir hp paket saya,https://tanyapaket.cekresi.com/question/nama-dan-nomir-hp-paket-saya/,Permisi pak/bu..saya ingin bertanya tentang paket saya dengan no resi SPXID040321289793 Shopee express. Saya ingin menghubungi kurir paket saya karena ada perubahan alamat dari alamat utama ke alamat kantor saya. Terimakasih,Shopee Express,no resi SPXID040321289793
Paket no P2403070080674 tidak bergerak,https://tanyapaket.cekresi.com/question/paket-no-p2403070080674-tidak-bergerak/,Paket saya harusnya hari ini sampai 8 Maret 2024 paket express namun status tidak bergerak Paket no P2403070080674,Pos Indonesia,2403070080674
Paket tidak bergerak.,https://tanyapaket.cekresi.com/question/paket-tidak-bergerak-7872/,paket tidak sampai sampai.,Ekspedisi Lainnya,
